activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
MST3105 Other Assessment 5000 word research project report,MST3105,Research Project: Marine Zoology,Dr G Uher,Other Assessment,Research Paper,2,30,30,60,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3105 Other Assessment 5000 word literature review,MST3105,Research Project: Marine Zoology,Dr G Uher,Other Assessment,Written Exercise,1,30,30,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3106 Exam Scientific Conference - 15 Minute oral presentation,MST3106,Research Project: Marine Bio and Ocean,Dr G Uher,Exam,Oral Presentation,2,30,30,15,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3106 Formative Assessment Research Project Notebook,MST3106,Research Project: Marine Bio and Ocean,Dr G Uher,Formative Assessment,Portfolio,2,30,30,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3106 Formative Assessment Research Project Proposal - Maximum two pages in length,MST3106,Research Project: Marine Bio and Ocean,Dr G Uher,Formative Assessment,Research Proposal,1,30,30,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3106 Formative Assessment Scientific conference abstract - 250 words,MST3106,Research Project: Marine Bio and Ocean,Dr G Uher,Formative Assessment,Written Exercise,2,30,30,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3106 Other Assessment 5000 word research project report,MST3106,Research Project: Marine Bio and Ocean,Dr G Uher,Other Assessment,Research Paper,2,30,30,60,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST3106 Other Assessment 5000 word literature review,MST3106,Research Project: Marine Bio and Ocean,Dr G Uher,Other Assessment,Written Exercise,1,30,30,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8011 Formative Assessment Formative feedback on individual research papers is,MST8011,Understanding Marine Ecosystems,Professor NVC Polunin,Formative Assessment,Research Paper,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8011 Other Assessment 15 minute team presentation (role play),MST8011,Understanding Marine Ecosystems,Professor NVC Polunin,Other Assessment,Prof Skill Assessmnt,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MST8011 Other Assessment Max 2500 words excluding figures, tables, references and",MST8011,Understanding Marine Ecosystems,Professor NVC Polunin,Other Assessment,Research Paper,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MST8025 Formative Assessment Research notebook: freestyle record of research planning,",MST8025,Marine Ecosystems Research,Professor NVC Polunin,Formative Assessment,Research Proposal,3,10,50,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8025 Other Assessment Word limit 8000 including abstract and references,MST8025,Marine Ecosystems Research,Professor NVC Polunin,Other Assessment,Essay,3,10,50,25,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8025 Other Assessment Oral Presentation 20 minutes plus questions,MST8025,Marine Ecosystems Research,Professor NVC Polunin,Other Assessment,Report,3,10,50,15,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8025 Other Assessment Word limit 8000 including abstract and references,MST8025,Marine Ecosystems Research,Professor NVC Polunin,Other Assessment,Research Paper,3,10,50,50,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MST8025 Other Assessment Word limit 5000 (excluding risk assessment, ethical forms",MST8025,Marine Ecosystems Research,Professor NVC Polunin,Other Assessment,Research Proposal,2,10,50,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8028 Other Assessment Assessed Proposal - max. 3500 words - for Consultancy,MST8028,Marine Consultancy Project Planning,Dr C Fitzsimmons,Other Assessment,Research Proposal,2,0,20,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8029 Formative Assessment Formative assessment of write up,MST8029,Marine Consultancy Review,Dr C Fitzsimmons,Formative Assessment,Written Exercise,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MST8029 Other Assessment Literature Review - max. 3500 words,MST8029,Marine Consultancy Review,Dr C Fitzsimmons,Other Assessment,Report,2,0,20,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NES3101 Other Assessment As set by host institution,NES3101,SAgEErasmus sem1 60c,Miss L Dixon,Other Assessment,Written Exercise,1,60,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NES3102 Other Assessment As set by host institution,NES3102,SAgE Eras sem2 60c,Miss L Dixon,Other Assessment,Written Exercise,2,0,60,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NES8001 Exam 10 minute presentation on the dissertation followed by 5,NES8001,Consultancy Dissertation Project,Dr C Fitzsimmons,Exam,Oral Presentation,3,0,0,10,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8001 Other Assessment Approx. 5000 words, to be written in a professional report",NES8001,Consultancy Dissertation Project,Dr C Fitzsimmons,Other Assessment,Report,3,0,0,90,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NES8002 Exam 10 minute presentation on the dissertation followed by 5,NES8002,Research Dissertation Project,Dr MG Edwards,Exam,Oral Presentation,3,0,5,10,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8002 Other Assessment Approx. 7000 words, to be written in the style of the most",NES8002,Research Dissertation Project,Dr MG Edwards,Other Assessment,Dissertation,3,0,5,80,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8002 Other Assessment Project plan and design, risk assessment, and COSHH,",NES8002,Research Dissertation Project,Dr MG Edwards,Other Assessment,Report,2,0,5,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8003 Other Assessment Terms of Reference, project plan and design, risk",NES8003,Consultancy Project Planning,Professor JC Bythell,Other Assessment,Report,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NES8006 Other Assessment Alternate assessment,NES8006,MSc data analysis,Mrs HF Adamson,Other Assessment,Computer Assessment,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8007 Other Assessment Critical review of former project proposals, in terms of",NES8007,Academic and professional skills for MSc,Mrs HF Adamson,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8010 Other Assessment Data Analysis Report. 8 page, 2000 words, on ecological",NES8010,Quantitative Ecological Research Methods,Dr AC Mill,Other Assessment,Report,2,0,20,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NES8010 Other Assessment Quantitative Methods Report.  8 page, 2000 words, on survey",NES8010,Quantitative Ecological Research Methods,Dr AC Mill,Other Assessment,Report,2,0,20,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPG8500 Formative Assessment Compulsory presentation for formative feedback,SPG8500,Problem Solving through Innovation,Miss KL Wray,Formative Assessment,Oral Presentation,2,0,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPG8500 Other Assessment Group market research report to demonstrate the profile of,SPG8500,Problem Solving through Innovation,Miss KL Wray,Other Assessment,Report,2,0,10,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPG8500 Other Assessment Individual self-reflection (1,500 words)",SPG8500,Problem Solving through Innovation,Miss KL Wray,Other Assessment,Report,2,0,10,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
